PlantID,Genotype,Replicate,ExperimentID,PlantDate,DataDate,TopPlantSurface
200240,L58,1,12,2/4/20,2/13/20,0
200240,L58,1,12,2/4/20,2/21/20,2767
200240,L58,1,12,2/4/20,2/24/20,7709
200240,L58,1,12,2/4/20,2/26/20,14248
200240,L58,1,12,2/4/20,2/28/20,24743
200240,L58,1,12,2/4/20,3/2/20,43542
200240,L58,1,12,2/4/20,3/3/20,51978
200240,L58,1,12,2/4/20,3/4/20,56010
200240,L58,1,12,2/4/20,3/5/20,63588
200240,L58,1,12,2/4/20,3/6/20,60971
200240,L58,1,12,2/4/20,3/9/20,57822
200240,L58,1,12,2/4/20,3/10/20,52161
200240,L58,1,12,2/4/20,3/11/20,56809
200240,L58,1,12,2/4/20,3/12/20,56399
200240,L58,1,12,2/4/20,3/13/20,53384
200240,L58,1,12,2/4/20,3/16/20,54432
200240,L58,1,12,2/4/20,3/18/20,50507
200241,R500,3,12,2/4/20,2/13/20,0
200241,R500,3,12,2/4/20,2/21/20,6405
200241,R500,3,12,2/4/20,2/24/20,18404
200241,R500,3,12,2/4/20,2/26/20,32637
200241,R500,3,12,2/4/20,2/28/20,47475
200241,R500,3,12,2/4/20,3/2/20,69865
200241,R500,3,12,2/4/20,3/3/20,74176
200241,R500,3,12,2/4/20,3/4/20,69732
200241,R500,3,12,2/4/20,3/5/20,83314
200241,R500,3,12,2/4/20,3/6/20,72092
200241,R500,3,12,2/4/20,3/9/20,76431
200241,R500,3,12,2/4/20,3/10/20,67495
200241,R500,3,12,2/4/20,3/11/20,89224
200241,R500,3,12,2/4/20,3/12/20,85348
200241,R500,3,12,2/4/20,3/13/20,87249
200241,R500,3,12,2/4/20,3/16/20,80828
200241,R500,3,12,2/4/20,3/18/20,79029
200241,R500,3,12,2/4/20,3/20/20,NA
200241,R500,3,12,2/4/20,3/23/20,81007
200244,R500,4,12,2/4/20,2/13/20,0
200244,R500,4,12,2/4/20,2/21/20,9446
200244,R500,4,12,2/4/20,2/24/20,23448
200244,R500,4,12,2/4/20,2/26/20,37373
200244,R500,4,12,2/4/20,2/28/20,60417
200244,R500,4,12,2/4/20,3/2/20,66721
200244,R500,4,12,2/4/20,3/3/20,76187
200244,R500,4,12,2/4/20,3/4/20,79076
200244,R500,4,12,2/4/20,3/5/20,92574
200244,R500,4,12,2/4/20,3/6/20,81969
200244,R500,4,12,2/4/20,3/9/20,85921
200244,R500,4,12,2/4/20,3/10/20,NA
200244,R500,4,12,2/4/20,3/11/20,91080
200244,R500,4,12,2/4/20,3/12/20,87390
200244,R500,4,12,2/4/20,3/13/20,87754
200244,R500,4,12,2/4/20,3/16/20,77250
200244,R500,4,12,2/4/20,3/18/20,85386
200244,R500,4,12,2/4/20,3/20/20,NA
200244,R500,4,12,2/4/20,3/23/20,85525
200246,L58,3,12,2/4/20,2/13/20,0
200246,L58,3,12,2/4/20,2/21/20,981
200246,L58,3,12,2/4/20,2/24/20,3089
200246,L58,3,12,2/4/20,2/26/20,6365
200246,L58,3,12,2/4/20,2/28/20,11901
200246,L58,3,12,2/4/20,3/2/20,27463
200246,L58,3,12,2/4/20,3/3/20,35157
200246,L58,3,12,2/4/20,3/4/20,39679
200246,L58,3,12,2/4/20,3/5/20,47425
200246,L58,3,12,2/4/20,3/6/20,51004
200246,L58,3,12,2/4/20,3/9/20,54823
200246,L58,3,12,2/4/20,3/10/20,60148
200246,L58,3,12,2/4/20,3/11/20,60043
200246,L58,3,12,2/4/20,3/12/20,61508
200246,L58,3,12,2/4/20,3/13/20,60286
200246,L58,3,12,2/4/20,3/16/20,53308
200246,L58,3,12,2/4/20,3/18/20,47282
200247,L58,2,12,2/4/20,2/13/20,0
200247,L58,2,12,2/4/20,2/21/20,1403
200247,L58,2,12,2/4/20,2/24/20,3521
200247,L58,2,12,2/4/20,2/26/20,6280
200247,L58,2,12,2/4/20,2/28/20,13053
